city,mape,r2,annual_growth_rate,latest_signal,avg_expected_return,avg_risk,risk_adjusted_return
"St. Cloud, FL",4.372322006589465,0.9869341866998879,12.374214131205141,buy,0.009669762956193715,0.05388409472284811,0.1794548652237728
"Rockwall, TX",6.914259703034611,0.9511652310328638,6.123125301701449,buy,0.011035229378115822,0.08161855570291598,0.1352049087744586
"Roseville, CA",3.116450307212241,0.9852674957195049,8.033360531289645,sell,0.007275950530276541,0.03785413345925636,0.19221019913473608
"Parker, CO",2.7201586880949895,0.23807753988717828,7.648173686784232,buy,0.007929466824356406,0.04396733890286002,0.18034902776070907
"Socorro, TX",9.685780102102855,0.9487412943599055,9.188745271959696,sell,0.018176864409048803,0.11910640691845953,0.15261029930566808
"Carlisle, PA",25.35437430953277,0.3182184017984898,5.543562241923228,buy,0.014929335369552646,0.15898473220971393,0.09390420804596271
"Simpsonville, SC",5.325606565887045,0.9640024050587336,5.061101982861027,buy,0.008840443428126838,0.08475192992302047,0.10430964151679549
"Sherman, TX",4.644560018246092,0.9815735564733443,7.116098830423323,sell,0.018369390000921453,0.13916735566289312,0.13199496328304078
"Casa Grande, AZ",3.1751284808588887,0.11582831741363886,10.44716210275254,sell,0.009631080362006161,0.047825425540797856,0.20137991984598846
"South Jordan, UT",4.319123403826941,0.9797460641421268,6.342180492060767,buy,0.008598275446097634,0.05962917559989525,0.14419577932438726
"Shakopee, MN",8.092651207709523,0.9237797916279514,6.792790152169359,sell,0.014596676383010302,0.11080582742832719,0.13173202819546567
"Castle Rock, CO",2.8551186268689666,0.9890983304835045,8.516506473917529,sell,0.007790711127524942,0.04048165586324763,0.19245040652099288
"Sanford, FL",5.096780124148064,0.9827241636889648,11.07822198303512,buy,0.014519746600437408,0.10419628673834745,0.1393499428333629
"Cedar City, UT",9.273245853658004,0.9417002814950667,19.405403583696092,buy,0.03813850888073006,0.18876207968563466,0.2020453946271737
"Sachse, TX",7.425026973236486,0.9337547031378954,8.078063843823236,buy,0.011608130140236914,0.10461641447619241,0.11095897520822202
"Round Rock, TX",5.669186814904325,0.9730955085233887,7.587445281668237,sell,0.0066131076482474046,0.04644646179388272,0.14238130081026734
"Cibolo, TX",4.042724965510591,0.9742124981592669,5.380851399789277,sell,0.007375349454685953,0.06363348966400872,0.11590358306024934
"Seguin, TX",7.268518347024624,0.9398053256227742,10.331600593967249,buy,0.019098478524995775,0.1399836334061512,0.1364336534227761
"Caldwell, ID",2.618630451727919,0.28835760464214333,14.351880092981318,sell,0.011688665361655816,0.04134259537966581,0.28272693705642
"Redmond, OR",3.803856657346864,0.37361975661760916,13.181000606804648,sell,0.014636805794836004,0.05027292230720036,0.2911469061892915
"Woodstock, GA",7.871260702832333,0.9445308020075075,10.579099930953205,buy,0.015627488221365907,0.08791012856226783,0.17776664051056146
"St. John, IN",4.744687499949837,0.9331857118956541,7.052743621285518,buy,0.005892538248169249,0.08750522358348739,0.06733927423826612
"Burleson, TX",4.367725047821165,0.9846944169859381,10.18462536643212,buy,0.009857782590190958,0.0677897863603997,0.14541692959146885
"Surprise, AZ",2.635431985030432,0.993591975242218,9.47791633938655,buy,0.008622289810339448,0.024527421576240185,0.35153673954427794
